Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Grades
19.0,M,High School,30000.0,A,88.0,Medium,19.0,Arts,Public,High,Low,Yes,Medium,High,Low,Positive,Low,,,9.0,Healthy,Low,6.0,No,Neutral,Yes,No,Visual,Yes,,Low,,Low,B
20.0,M,Graduate,30000.0,,70.0,High,16.0,Science,Private,,Medium,No,High,High,Medium,Negative,High,84.0,Yes,6.0,Healthy,High,9.0,Yes,Neutral,No,Yes,Visual,Yes,Yes,High,3.0,Medium,C
22.0,M,College,60000.0,C,93.0,Medium,13.0,Law,Public,Medium,High,Yes,Low,Medium,,Negative,Medium,33.0,No,7.0,Unhealthy,High,2.0,Yes,Neutral,No,Yes,,No,No,Medium,2.0,Low,C
,M,Graduate,30000.0,C,76.0,High,20.0,Engineering,Private,Medium,Medium,,Low,High,High,Positive,Medium,75.0,Yes,9.0,Healthy,High,6.0,Yes,Neutral,No,No,,,No,High,3.0,Low,A
20.0,M,Graduate,30000.0,C,,Low,6.0,Engineering,Private,Low,Medium,No,Low,Low,Low,Neutral,Medium,99.0,No,7.0,Unhealthy,Medium,10.0,Yes,Positive,No,No,Auditory,No,Yes,High,4.0,High,B
18.0,M,High School,60000.0,A,,Medium,15.0,Engineering,Public,Low,Medium,Yes,Low,Low,High,Neutral,High,48.0,Yes,5.0,Unhealthy,Low,6.0,No,Neutral,No,Yes,,Yes,No,Medium,2.0,Low,
21.0,M,High School,40000.0,A,74.0,High,20.0,Engineering,Public,Low,Medium,No,High,Medium,Medium,Positive,Low,65.0,No,6.0,Balanced,Medium,,Yes,Negative,Yes,Yes,Kinesthetic,Yes,No,High,3.0,,A
19.0,M,College,50000.0,A,84.0,Medium,17.0,Science,Private,Medium,Low,,Low,Medium,Medium,Neutral,,70.0,Yes,6.0,Healthy,Medium,8.0,,Negative,,No,Kinesthetic,Yes,No,Medium,5.0,Medium,C
19.0,F,High School,40000.0,B,81.0,Low,9.0,Medicine,Private,Low,Medium,No,Low,High,High,Negative,High,66.0,Yes,,Healthy,Low,3.0,No,Negative,Yes,Yes,Visual,,Yes,High,3.0,Medium,C
,F,Some College,60000.0,,96.0,High,9.0,Business,Private,Low,Low,No,Low,Medium,Low,Neutral,Medium,31.0,Yes,9.0,Balanced,High,4.0,No,Neutral,No,Yes,Kinesthetic,Yes,Yes,Medium,6.0,High,C
19.0,M,Some College,40000.0,A,75.0,Medium,10.0,,Private,Medium,Medium,No,High,High,Low,Negative,Medium,49.0,No,7.0,Healthy,High,5.0,Yes,,No,No,Auditory,No,,Medium,1.0,Medium,A
20.0,M,Graduate,75000.0,B,73.0,High,20.0,Law,Public,Medium,Low,Yes,,Medium,Low,Negative,Low,56.0,No,,Balanced,High,10.0,,Neutral,Yes,No,,Yes,No,Low,3.0,,C
22.0,M,Some College,75000.0,C,81.0,Low,11.0,,Public,Low,Medium,Yes,Low,Low,Medium,,,36.0,No,8.0,Balanced,Low,6.0,Yes,Negative,No,No,Auditory,,Yes,,4.0,High,C
21.0,F,,75000.0,A,79.0,Low,9.0,Science,Public,High,Low,No,Medium,High,Low,Negative,High,97.0,No,5.0,Healthy,High,2.0,Yes,Negative,Yes,No,Kinesthetic,Yes,Yes,High,,High,C
18.0,F,Some College,75000.0,C,89.0,,7.0,Arts,Private,High,Medium,No,High,Medium,High,Negative,Medium,48.0,Yes,6.0,,High,8.0,Yes,Negative,No,No,Kinesthetic,,No,High,,Medium,C
19.0,M,Some College,50000.0,,77.0,High,20.0,Science,Public,,High,No,High,Low,Low,Neutral,Medium,81.0,No,6.0,Unhealthy,High,3.0,Yes,Positive,Yes,,Visual,Yes,No,Low,,High,C
21.0,F,Graduate,30000.0,B,71.0,Low,8.0,Medicine,Public,High,High,No,High,Low,High,Negative,High,40.0,Yes,,,Medium,7.0,No,Neutral,Yes,No,Auditory,No,Yes,Medium,3.0,High,A
18.0,,Some College,60000.0,B,,Low,15.0,Arts,,,High,No,High,Medium,,,High,,No,5.0,Healthy,High,3.0,No,,Yes,Yes,Visual,No,No,Medium,3.0,Low,A
18.0,F,Some College,50000.0,C,90.0,Medium,8.0,Science,Private,High,Low,Yes,Low,Low,Low,Positive,Low,30.0,No,9.0,Healthy,,,No,Negative,No,Yes,Kinesthetic,Yes,No,Low,,High,A
18.0,F,Graduate,75000.0,B,90.0,Medium,8.0,,Public,Low,Low,,,,Medium,Negative,High,77.0,Yes,4.0,,High,10.0,Yes,Neutral,No,Yes,Kinesthetic,No,Yes,Medium,5.0,Low,C
19.0,M,Some College,50000.0,A,,High,13.0,Engineering,Public,Medium,Medium,Yes,High,High,Medium,Positive,Low,91.0,Yes,9.0,Unhealthy,Medium,7.0,No,Positive,No,No,Visual,No,Yes,Low,5.0,,B
18.0,F,High School,40000.0,C,74.0,Low,8.0,Arts,Public,Medium,,Yes,,,,Positive,High,76.0,Yes,4.0,Healthy,High,6.0,Yes,Positive,No,Yes,Visual,No,Yes,High,1.0,Medium,A
20.0,M,College,40000.0,A,74.0,High,5.0,Business,Public,Low,Medium,Yes,Low,Medium,Medium,Negative,High,46.0,No,6.0,,High,3.0,No,Positive,Yes,,Visual,No,Yes,Low,6.0,High,A
21.0,M,College,30000.0,,,,17.0,Law,Public,Low,Medium,No,Low,High,Low,Neutral,,38.0,No,6.0,Unhealthy,High,4.0,No,Positive,Yes,No,Auditory,No,Yes,Medium,6.0,Medium,C
,F,High School,,C,90.0,Medium,9.0,Science,Private,High,Low,No,Medium,High,Medium,Neutral,Medium,57.0,No,8.0,Healthy,High,5.0,,Positive,Yes,Yes,Auditory,Yes,No,Medium,6.0,Medium,C
22.0,M,Graduate,,B,82.0,Low,14.0,Engineering,Private,Medium,Medium,No,High,,Medium,Negative,Low,61.0,Yes,6.0,Unhealthy,Medium,6.0,No,Negative,No,No,Auditory,No,No,Medium,3.0,Medium,B
,F,Some College,50000.0,A,82.0,Low,9.0,,Private,Medium,Low,No,High,Medium,High,Neutral,Medium,46.0,No,7.0,Balanced,Low,10.0,Yes,Negative,No,,Kinesthetic,Yes,No,,2.0,Low,B
19.0,F,High School,60000.0,A,,High,19.0,Business,Public,,Medium,No,Low,High,,Neutral,Medium,,No,4.0,Unhealthy,High,10.0,No,Negative,No,Yes,Visual,No,,Medium,6.0,High,C
20.0,F,College,75000.0,A,73.0,Medium,17.0,,Private,Low,Low,No,High,Low,,Positive,Medium,94.0,No,8.0,Unhealthy,Low,2.0,No,Neutral,No,Yes,Visual,No,Yes,High,5.0,Medium,A
20.0,M,,75000.0,C,98.0,Low,13.0,Business,Private,Medium,High,Yes,High,Low,Low,Negative,Medium,23.0,No,5.0,Unhealthy,High,5.0,Yes,Negative,No,No,Kinesthetic,No,Yes,Medium,3.0,High,
,M,High School,60000.0,C,74.0,Medium,20.0,Science,Public,High,Medium,No,High,Low,,,Medium,53.0,Yes,9.0,Unhealthy,,2.0,Yes,Negative,No,No,,No,No,High,1.0,Low,A
18.0,F,Some College,75000.0,A,84.0,Low,9.0,Engineering,Private,High,Low,No,High,Medium,Medium,Neutral,High,60.0,Yes,,Unhealthy,High,9.0,Yes,Positive,,No,Kinesthetic,No,No,Low,3.0,High,C
,F,Graduate,40000.0,A,85.0,High,7.0,Arts,Private,High,High,No,Medium,High,Low,Positive,Low,60.0,No,8.0,Balanced,Low,6.0,,Positive,No,No,Visual,No,No,Low,5.0,Low,A
22.0,M,Some College,75000.0,A,84.0,Low,9.0,,Private,High,,Yes,High,Medium,High,,Medium,39.0,No,8.0,Unhealthy,,5.0,No,Positive,Yes,Yes,,Yes,Yes,High,6.0,High,B
,M,High School,60000.0,B,79.0,Medium,15.0,Arts,Public,Low,High,,High,High,High,Neutral,Medium,60.0,Yes,,Balanced,High,6.0,Yes,Negative,No,Yes,,Yes,Yes,High,6.0,,
18.0,M,Some College,50000.0,A,86.0,Low,5.0,Science,,Medium,Medium,,Medium,Low,Medium,Neutral,High,,Yes,6.0,,High,4.0,No,Positive,Yes,No,Auditory,No,Yes,Low,1.0,Medium,A
18.0,M,Some College,30000.0,B,78.0,Medium,11.0,Arts,Private,Medium,Low,Yes,Medium,High,Medium,Neutral,Medium,92.0,,5.0,Balanced,Low,8.0,Yes,Neutral,No,No,Visual,No,Yes,Medium,1.0,Low,
18.0,M,Some College,75000.0,,78.0,,18.0,Law,Public,High,Low,No,Low,Medium,Medium,Neutral,Low,38.0,Yes,5.0,Healthy,Low,10.0,No,Negative,,Yes,Visual,,Yes,Low,,High,A
22.0,M,Some College,75000.0,A,100.0,Low,12.0,,Private,Low,High,Yes,Low,Medium,Low,Neutral,Medium,87.0,Yes,4.0,Balanced,High,8.0,,Positive,,No,Kinesthetic,Yes,Yes,High,4.0,Low,C
22.0,M,College,75000.0,B,90.0,Medium,10.0,Engineering,Public,Low,High,No,Medium,Low,Low,Neutral,,68.0,No,6.0,,High,4.0,No,Neutral,Yes,No,Visual,Yes,Yes,Medium,6.0,Medium,C
22.0,F,Some College,30000.0,A,86.0,High,11.0,Law,Public,Low,Medium,Yes,Medium,High,Medium,Negative,Low,63.0,No,9.0,Healthy,Low,,Yes,Positive,No,No,Auditory,Yes,Yes,Medium,5.0,Medium,B
19.0,M,Graduate,75000.0,B,79.0,High,17.0,Medicine,Private,Medium,Low,,Medium,Low,High,Positive,Medium,26.0,Yes,9.0,Unhealthy,High,9.0,Yes,Positive,Yes,No,Visual,Yes,No,Low,1.0,Low,B
19.0,F,Graduate,30000.0,C,78.0,High,11.0,Science,Public,High,Low,Yes,Low,,Medium,Negative,Medium,21.0,Yes,4.0,Unhealthy,Low,6.0,No,Negative,No,Yes,Auditory,Yes,,High,2.0,Medium,A
22.0,M,College,60000.0,C,80.0,Medium,20.0,Arts,Public,Low,High,No,,Medium,Low,Negative,Low,75.0,No,4.0,Balanced,Medium,10.0,No,Negative,No,No,Kinesthetic,Yes,Yes,High,1.0,High,A
21.0,M,College,30000.0,C,70.0,High,11.0,Medicine,,Low,Medium,,High,,High,Neutral,Medium,86.0,No,9.0,Balanced,High,2.0,No,Positive,Yes,Yes,Kinesthetic,Yes,No,,4.0,Low,B
,M,High School,50000.0,C,93.0,High,7.0,Medicine,Private,Medium,Medium,No,,Low,Low,Negative,,52.0,Yes,4.0,Unhealthy,Medium,8.0,No,Positive,,No,Kinesthetic,Yes,Yes,Medium,5.0,Medium,C
,F,,75000.0,C,97.0,Medium,17.0,Engineering,Public,High,Medium,Yes,Low,Medium,Low,Neutral,High,81.0,Yes,6.0,Unhealthy,,4.0,Yes,Negative,Yes,Yes,Kinesthetic,Yes,No,Low,4.0,,C
18.0,M,Graduate,30000.0,B,82.0,High,14.0,Business,Private,High,Low,No,Medium,Low,Low,Negative,Low,76.0,No,4.0,Healthy,Medium,10.0,Yes,Neutral,No,No,,Yes,Yes,Low,2.0,Medium,B
22.0,F,College,30000.0,B,97.0,Low,10.0,Business,,High,,,Low,Low,High,Positive,Medium,58.0,No,,Unhealthy,,2.0,Yes,Positive,Yes,No,Auditory,No,Yes,High,,Low,C
20.0,M,High School,50000.0,C,76.0,High,16.0,Medicine,Public,Low,High,No,High,Low,High,Positive,High,66.0,No,5.0,Unhealthy,Medium,2.0,,,No,No,Visual,No,No,Low,3.0,,A
19.0,F,High School,60000.0,C,75.0,Low,,Medicine,Public,High,Low,No,,High,Low,Positive,High,83.0,No,6.0,Balanced,Medium,10.0,No,Negative,Yes,No,Auditory,No,,Low,6.0,High,A
21.0,M,College,75000.0,B,88.0,Low,9.0,Science,Private,High,Low,Yes,Medium,High,Low,Neutral,High,34.0,No,6.0,Unhealthy,Low,10.0,Yes,Negative,Yes,No,Auditory,Yes,Yes,High,6.0,Medium,A
18.0,M,Some College,40000.0,B,98.0,Medium,12.0,Science,Private,Medium,Medium,Yes,Medium,Low,Low,Negative,,,No,5.0,Healthy,High,10.0,No,Neutral,No,No,Auditory,Yes,Yes,Medium,6.0,Low,B
19.0,F,Graduate,,B,85.0,Medium,19.0,Arts,Public,Low,High,Yes,Medium,Medium,Low,Negative,Medium,78.0,Yes,8.0,Unhealthy,Low,2.0,No,Negative,No,No,Visual,No,Yes,Medium,2.0,High,C
,F,Graduate,60000.0,B,81.0,Medium,20.0,Law,Public,High,,No,Medium,,High,Negative,High,78.0,No,7.0,Unhealthy,High,9.0,Yes,Positive,No,Yes,Kinesthetic,,No,Low,,Medium,C
22.0,,Graduate,,A,77.0,High,10.0,Engineering,Private,Low,Medium,No,High,Medium,Low,Negative,High,53.0,Yes,6.0,Healthy,Medium,9.0,Yes,Negative,,,Auditory,Yes,No,Low,2.0,Medium,C
18.0,M,Some College,,C,96.0,,15.0,Business,Private,Medium,Medium,No,High,Medium,,Negative,Medium,53.0,Yes,9.0,,Low,2.0,No,Neutral,Yes,Yes,Auditory,Yes,Yes,Medium,4.0,Low,B
18.0,M,,60000.0,,90.0,High,11.0,,Private,Medium,Medium,,Medium,Low,High,Neutral,High,27.0,No,7.0,Balanced,Low,2.0,Yes,Negative,Yes,Yes,Auditory,Yes,No,High,1.0,Low,B
22.0,,College,60000.0,C,78.0,Low,10.0,Science,Private,High,Low,No,Low,Low,Low,Neutral,Low,56.0,No,7.0,Unhealthy,Low,4.0,Yes,Positive,No,Yes,Visual,Yes,No,,1.0,High,A
19.0,M,Graduate,,A,70.0,Medium,10.0,Engineering,Private,Low,Low,No,Medium,Medium,,Neutral,Medium,94.0,No,5.0,Unhealthy,Low,2.0,Yes,Negative,Yes,Yes,Kinesthetic,No,,,2.0,High,A
20.0,M,College,40000.0,A,73.0,High,10.0,Arts,Public,Low,Low,No,High,High,Medium,,High,87.0,,4.0,Unhealthy,Medium,2.0,Yes,Negative,No,Yes,Auditory,Yes,Yes,High,5.0,High,
22.0,,College,50000.0,B,83.0,Medium,9.0,Medicine,Public,High,Medium,Yes,Medium,,High,Negative,Low,97.0,No,7.0,Unhealthy,,6.0,No,Positive,No,Yes,Kinesthetic,Yes,,High,3.0,Medium,
18.0,F,High School,60000.0,C,97.0,High,8.0,Law,Public,High,,Yes,Low,High,Low,Negative,Low,41.0,Yes,,Balanced,Low,,No,Negative,No,No,Auditory,,Yes,High,6.0,High,A
20.0,F,Graduate,60000.0,B,73.0,,,Arts,Public,Low,High,Yes,Medium,High,High,Positive,Low,,Yes,,Unhealthy,Low,10.0,No,Neutral,No,No,Kinesthetic,No,Yes,Low,6.0,High,
21.0,F,College,60000.0,,,Medium,5.0,Science,Public,Low,,No,Low,Medium,High,Neutral,Medium,26.0,Yes,5.0,Unhealthy,Medium,9.0,Yes,Negative,No,,Kinesthetic,Yes,No,Medium,1.0,,C
18.0,F,College,40000.0,A,90.0,Medium,13.0,Law,Private,High,Medium,Yes,,Medium,High,,,68.0,Yes,5.0,Healthy,Medium,4.0,Yes,Neutral,Yes,No,Kinesthetic,Yes,Yes,High,5.0,High,B
21.0,M,,50000.0,C,,Low,6.0,Engineering,Private,Medium,Medium,No,High,High,Low,Positive,High,81.0,,8.0,,High,8.0,,Neutral,Yes,No,,Yes,Yes,Medium,2.0,Low,C
22.0,F,Graduate,40000.0,B,75.0,High,18.0,,Private,High,,Yes,Low,Low,Low,Neutral,Low,36.0,Yes,5.0,,High,2.0,No,Neutral,No,No,Visual,,No,,6.0,High,C
22.0,F,College,40000.0,A,,,14.0,Engineering,Public,High,Medium,Yes,,Medium,Low,Negative,High,63.0,Yes,6.0,Balanced,Low,7.0,Yes,Negative,No,Yes,Kinesthetic,No,No,High,5.0,Low,
22.0,F,High School,40000.0,C,72.0,Medium,11.0,,Private,,,No,Low,Medium,Medium,Neutral,Low,24.0,Yes,4.0,Balanced,,8.0,Yes,Negative,Yes,No,Auditory,No,No,Low,6.0,High,C
18.0,F,College,60000.0,B,75.0,High,13.0,Medicine,Public,High,High,,High,Low,Medium,,,73.0,No,7.0,,High,8.0,,Positive,Yes,Yes,Visual,No,Yes,Low,4.0,Low,C
18.0,M,College,30000.0,A,76.0,High,8.0,Arts,Private,,,Yes,High,Low,Low,Negative,,96.0,Yes,6.0,Unhealthy,High,6.0,Yes,,No,Yes,Visual,Yes,No,Low,6.0,,B
21.0,F,Some College,,,97.0,High,19.0,Science,Private,Medium,Low,Yes,Low,Medium,High,Positive,Medium,23.0,Yes,5.0,Balanced,Medium,8.0,No,Neutral,No,No,Visual,Yes,Yes,Medium,5.0,,C
19.0,F,High School,60000.0,C,94.0,Low,12.0,,Private,Medium,High,Yes,Medium,,Medium,Positive,Medium,54.0,Yes,9.0,Healthy,Low,9.0,No,,No,No,Kinesthetic,,Yes,,4.0,Low,A
21.0,F,High School,40000.0,A,89.0,Low,,Law,Public,Low,High,No,Low,High,High,Positive,,44.0,Yes,8.0,Unhealthy,Low,2.0,Yes,Neutral,No,,Auditory,Yes,No,Low,4.0,High,A
20.0,M,College,60000.0,B,83.0,Medium,10.0,Medicine,Private,High,High,,High,Low,High,Neutral,Medium,66.0,,4.0,Unhealthy,High,8.0,,Positive,No,Yes,Auditory,Yes,Yes,Medium,5.0,Low,B
20.0,F,Some College,,A,,Low,,Medicine,Private,Low,Low,Yes,High,Low,High,Neutral,Low,53.0,No,6.0,Unhealthy,High,5.0,Yes,Negative,No,Yes,Kinesthetic,No,Yes,High,1.0,Low,A
21.0,F,Graduate,50000.0,A,,Low,15.0,Medicine,Private,High,High,No,Low,Medium,Medium,Negative,,40.0,Yes,9.0,Unhealthy,Medium,7.0,Yes,Negative,No,Yes,Kinesthetic,No,Yes,Low,5.0,High,B
,F,College,,B,71.0,Low,19.0,Medicine,Private,Medium,Medium,Yes,High,Medium,Low,Negative,Medium,63.0,No,5.0,Healthy,Medium,2.0,Yes,Positive,No,Yes,Visual,Yes,,Low,4.0,Medium,B
19.0,,College,40000.0,B,79.0,Medium,6.0,Science,,Low,Medium,,Low,High,Low,Positive,Low,55.0,No,6.0,Healthy,,6.0,No,Neutral,,No,Visual,Yes,No,High,5.0,Medium,A
21.0,F,Graduate,50000.0,B,91.0,High,7.0,Law,Private,Medium,Low,No,High,Low,High,Neutral,Medium,24.0,No,6.0,Balanced,Low,4.0,Yes,,Yes,,Kinesthetic,No,Yes,,5.0,Medium,C
22.0,F,College,,B,86.0,Low,13.0,,,,Low,Yes,High,Low,Low,Neutral,Medium,,No,4.0,,,,No,Negative,Yes,Yes,Auditory,No,,High,5.0,Low,A
21.0,M,Some College,30000.0,B,85.0,High,19.0,Arts,Public,High,Low,Yes,Low,Low,Medium,,Medium,95.0,Yes,5.0,Healthy,Medium,9.0,Yes,Neutral,Yes,Yes,Auditory,No,No,Medium,1.0,Medium,B
18.0,M,Some College,30000.0,A,78.0,Low,15.0,Engineering,Private,Low,Low,Yes,Medium,Medium,Low,Neutral,High,93.0,No,9.0,Balanced,High,9.0,No,Negative,No,No,Auditory,No,Yes,Medium,6.0,High,A
21.0,F,College,75000.0,A,80.0,High,19.0,Engineering,Private,Medium,Medium,No,Low,High,,Positive,Medium,20.0,,,Healthy,Low,3.0,Yes,,Yes,Yes,Auditory,Yes,Yes,Low,3.0,Low,B
21.0,,High School,30000.0,A,81.0,Medium,9.0,Business,Private,Low,Low,Yes,Low,High,High,Neutral,High,32.0,Yes,5.0,Healthy,Medium,10.0,Yes,,No,Yes,Kinesthetic,Yes,Yes,Low,2.0,Medium,B
19.0,M,Some College,30000.0,C,80.0,High,19.0,Business,Private,High,Medium,No,High,Low,High,Positive,Low,54.0,No,9.0,Balanced,Medium,10.0,Yes,Neutral,,No,Auditory,No,,Medium,4.0,Medium,B
21.0,F,High School,75000.0,,86.0,High,,Engineering,,Medium,Medium,Yes,High,High,Low,Neutral,High,73.0,Yes,6.0,Unhealthy,Medium,4.0,Yes,Negative,,Yes,Auditory,No,Yes,Low,1.0,High,A
18.0,F,Graduate,30000.0,B,92.0,,,Science,Public,Low,High,No,Low,Medium,Low,Positive,Medium,26.0,Yes,,Healthy,Low,2.0,No,,No,No,Kinesthetic,Yes,Yes,Low,4.0,Low,C
,M,High School,30000.0,B,80.0,High,20.0,Arts,Public,Low,Low,Yes,High,High,High,Positive,High,26.0,,9.0,Unhealthy,Medium,5.0,Yes,Positive,Yes,,Auditory,Yes,No,Medium,5.0,,A
22.0,F,Graduate,50000.0,B,84.0,Low,15.0,Engineering,Public,Medium,,,Low,High,Medium,Neutral,Medium,70.0,No,9.0,Unhealthy,,6.0,Yes,Neutral,No,Yes,Auditory,No,No,Medium,5.0,Medium,B
19.0,F,College,30000.0,,95.0,High,17.0,Arts,Private,High,Medium,Yes,High,Medium,,Positive,Low,62.0,Yes,6.0,Healthy,High,5.0,No,Positive,Yes,Yes,Kinesthetic,No,No,High,1.0,Low,A
22.0,M,Graduate,40000.0,A,77.0,High,6.0,Arts,Public,High,High,Yes,,High,,Neutral,High,68.0,No,5.0,Unhealthy,High,7.0,,Neutral,Yes,Yes,Auditory,Yes,Yes,Low,1.0,,B
19.0,F,College,40000.0,A,93.0,Low,6.0,Law,Public,,High,No,High,High,Medium,Positive,High,47.0,Yes,8.0,Healthy,,8.0,No,Negative,,No,Auditory,No,Yes,,2.0,High,
20.0,F,Some College,30000.0,C,90.0,High,12.0,Engineering,Public,High,Medium,No,,High,Low,Negative,High,36.0,No,9.0,Unhealthy,Low,6.0,No,,Yes,,Visual,No,Yes,Medium,3.0,Medium,B
20.0,F,Some College,75000.0,B,71.0,Low,11.0,Science,Private,High,Low,Yes,High,High,,Neutral,High,,Yes,5.0,Balanced,Low,7.0,Yes,Negative,No,No,Kinesthetic,No,No,Low,1.0,Medium,B
18.0,M,College,30000.0,C,90.0,Low,9.0,Arts,Private,Medium,Medium,Yes,Medium,Medium,High,Neutral,High,96.0,Yes,9.0,Unhealthy,High,5.0,Yes,Positive,Yes,No,Auditory,No,Yes,Low,3.0,Medium,B
18.0,F,College,40000.0,B,,Low,11.0,Engineering,Public,,Medium,Yes,,Medium,Medium,Positive,,42.0,,8.0,Unhealthy,Medium,7.0,No,Positive,No,Yes,Auditory,No,Yes,,6.0,Low,C
19.0,F,Some College,60000.0,C,85.0,High,13.0,Engineering,Public,Low,High,No,Low,Medium,Medium,Negative,Low,26.0,Yes,5.0,Healthy,Medium,10.0,No,Neutral,No,Yes,Auditory,,Yes,High,6.0,,C
18.0,F,High School,40000.0,,77.0,High,5.0,Science,Public,Low,Low,Yes,Low,Low,,Neutral,,33.0,Yes,,Balanced,,3.0,No,Negative,No,Yes,,No,Yes,Low,3.0,Low,C
21.0,M,,30000.0,B,85.0,High,10.0,Business,Public,Medium,High,No,Medium,Low,Medium,Negative,Low,81.0,Yes,,Balanced,Low,8.0,No,Neutral,,Yes,Visual,No,Yes,Medium,3.0,Medium,
21.0,,Graduate,60000.0,C,89.0,High,5.0,Business,Private,Low,Medium,Yes,High,High,Low,Positive,Low,,Yes,5.0,,Low,2.0,,Neutral,,Yes,Visual,No,Yes,High,,High,C
22.0,F,Some College,60000.0,C,84.0,High,20.0,Arts,,Low,High,Yes,High,Low,Low,Neutral,,82.0,Yes,7.0,Unhealthy,High,8.0,Yes,Positive,,No,Kinesthetic,Yes,Yes,Medium,5.0,High,A
20.0,M,Graduate,75000.0,B,76.0,Medium,6.0,,Public,High,High,No,High,Medium,Medium,Negative,High,64.0,Yes,8.0,Unhealthy,Low,5.0,No,Negative,Yes,Yes,Auditory,Yes,No,Medium,4.0,Low,B
19.0,F,Some College,40000.0,B,99.0,High,15.0,,Public,,Low,No,High,High,Low,Neutral,High,76.0,No,6.0,Healthy,Medium,5.0,Yes,Neutral,Yes,No,,No,No,Low,1.0,Low,C
22.0,F,,60000.0,A,95.0,Low,8.0,Medicine,,High,High,No,Medium,Medium,Medium,Neutral,Low,54.0,Yes,9.0,Unhealthy,Medium,2.0,No,Neutral,,Yes,Visual,No,Yes,High,1.0,Low,B
21.0,F,,60000.0,B,83.0,Medium,13.0,Law,Public,Low,Low,Yes,Low,,Low,Negative,Medium,92.0,Yes,7.0,Unhealthy,Medium,3.0,No,Positive,No,,Auditory,No,Yes,High,6.0,Medium,B
,F,Some College,60000.0,,82.0,High,,Medicine,Private,High,Low,Yes,Medium,,High,Positive,Medium,33.0,Yes,5.0,Healthy,Medium,8.0,No,Negative,No,Yes,Auditory,No,No,Medium,,Medium,B
19.0,F,Graduate,,A,,High,8.0,Business,Private,Low,Medium,No,Low,Medium,Low,Neutral,Medium,96.0,No,6.0,Healthy,Low,2.0,No,Neutral,No,No,,No,Yes,High,6.0,Low,C
19.0,M,College,30000.0,B,95.0,,19.0,Business,Public,Medium,Low,,High,Low,Medium,Positive,High,31.0,No,4.0,Balanced,Medium,4.0,Yes,Positive,Yes,Yes,Kinesthetic,No,Yes,Low,4.0,Low,A
18.0,F,Some College,30000.0,B,82.0,Low,12.0,Engineering,Private,High,,No,Medium,Low,,Neutral,Low,58.0,No,6.0,Healthy,Low,8.0,,Neutral,Yes,,Kinesthetic,No,Yes,High,3.0,Medium,B
18.0,M,High School,30000.0,B,87.0,High,15.0,Arts,Private,High,Medium,Yes,Low,Low,High,Neutral,High,34.0,No,9.0,Balanced,Medium,7.0,No,Positive,Yes,No,Kinesthetic,Yes,Yes,Low,5.0,High,A
,F,High School,30000.0,C,99.0,Low,18.0,Medicine,Private,Medium,High,Yes,Low,Medium,Medium,Negative,Low,68.0,Yes,9.0,Balanced,High,5.0,No,,,No,Auditory,Yes,No,Low,6.0,Low,B
22.0,M,Graduate,40000.0,A,85.0,High,9.0,Law,Private,Medium,High,Yes,Medium,Low,High,Negative,Low,88.0,Yes,7.0,Healthy,Low,4.0,,Neutral,No,Yes,Auditory,No,No,High,5.0,High,
19.0,F,College,60000.0,B,89.0,Medium,,Business,Private,,Medium,No,Medium,Low,High,Neutral,Medium,68.0,Yes,7.0,Unhealthy,Low,4.0,No,Neutral,No,Yes,Visual,No,Yes,Medium,,Low,C
19.0,F,Some College,40000.0,A,97.0,High,,Business,Private,Medium,High,No,Medium,Medium,,Negative,,57.0,No,8.0,,Medium,8.0,Yes,Positive,No,No,Visual,No,No,High,1.0,Medium,C
22.0,M,Graduate,75000.0,C,71.0,High,5.0,Business,,Medium,Medium,Yes,Medium,,High,Neutral,High,29.0,No,9.0,Balanced,Medium,4.0,No,Negative,,Yes,Kinesthetic,Yes,Yes,Medium,3.0,High,C
21.0,F,Graduate,40000.0,A,75.0,Low,17.0,Arts,Private,Low,Low,Yes,High,High,High,Positive,High,,No,5.0,Unhealthy,Low,,No,Positive,No,Yes,Auditory,,Yes,High,2.0,Medium,
20.0,F,Some College,50000.0,A,77.0,Medium,20.0,Medicine,Private,Medium,Medium,No,High,Low,Medium,Negative,,41.0,No,,Unhealthy,Low,5.0,Yes,Neutral,Yes,Yes,Kinesthetic,Yes,Yes,Medium,6.0,High,C
22.0,F,High School,,A,92.0,Medium,,Engineering,Public,Low,,No,,Low,High,Negative,High,86.0,No,9.0,Unhealthy,Low,2.0,No,Negative,Yes,Yes,Kinesthetic,No,Yes,Medium,5.0,High,C
19.0,F,High School,30000.0,B,90.0,Medium,7.0,Engineering,Private,Low,Medium,No,Medium,High,Low,Negative,Medium,89.0,No,6.0,Balanced,Low,8.0,No,,No,Yes,Kinesthetic,Yes,Yes,,4.0,Medium,A
18.0,F,College,50000.0,B,77.0,High,7.0,Law,Public,High,Medium,No,Low,Low,Low,Negative,Medium,70.0,No,4.0,Balanced,,2.0,Yes,Positive,No,Yes,Kinesthetic,No,No,,1.0,Low,B
